TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
5,18,1,1,-0.007,FBS,POS,Short,FB,1,23,23,32,1,1
6,18,3,2,-0.016,MCS,NEG,Short,Mem,1,23,23,32,2,1
7,18,4,1,-0.118,MCL,POS,Long,Mem,1,23,23,32,2,2
8,18,2,1,-0.058,FBL,POS,Long,FB,1,23,23,32,1,2
9,18,1,2,0.016,FBS,NEG,Short,FB,1,23,23,32,1,1
10,18,3,2,0.264,MCS,NEG,Short,Mem,1,23,23,32,2,1
11,18,2,2,0.054,FBL,NEG,Long,FB,1,23,23,32,1,2
12,18,4,2,0.015,MCL,NEG,Long,Mem,1,23,23,32,2,2
13,18,4,1,0.491,MCL,POS,Long,Mem,1,23,23,32,2,2
14,18,2,1,-0.007,FBL,POS,Long,FB,1,23,23,32,1,2
15,18,3,1,0.031,MCS,POS,Short,Mem,1,23,23,32,2,1
16,18,1,2,0.042,FBS,NEG,Short,FB,1,23,23,32,1,1
1,19,1,1,0.007,FBS,NEG,Short,FB,2,21,10,53,1,1
2,19,2,2,0.114,FBL,POS,Long,FB,2,21,10,53,1,2
3,19,3,1,0.012,MCS,NEG,Short,Mem,2,21,10,53,2,1
4,19,4,2,-0.031,MCL,POS,Long,Mem,2,21,10,53,2,2
5,19,1,1,0.001,FBS,NEG,Short,FB,2,21,10,53,1,1
6,19,3,2,0.02,MCS,POS,Short,Mem,2,21,10,53,2,1
7,19,4,1,-0.035,MCL,NEG,Long,Mem,2,21,10,53,2,2
8,19,2,1,0.008,FBL,NEG,Long,FB,2,21,10,53,1,2
9,19,1,2,-0.061,FBS,POS,Short,FB,2,21,10,53,1,1
10,19,3,2,0.041,MCS,POS,Short,Mem,2,21,10,53,2,1
11,19,2,2,0.061,FBL,POS,Long,FB,2,21,10,53,1,2
12,19,4,2,0.103,MCL,POS,Long,Mem,2,21,10,53,2,2
13,19,4,1,0.009,MCL,NEG,Long,Mem,2,21,10,53,2,2
14,19,2,1,0.026,FBL,NEG,Long,FB,2,21,10,53,1,2
15,19,3,1,-0.009,MCS,NEG,Short,Mem,2,21,10,53,2,1
16,19,1,2,-0.029,FBS,POS,Short,FB,2,21,10,53,1,1
1,20,1,1,-0.006,FBS,NEG,Short,FB,2,36,18,80,1,1
2,20,2,2,0.013,FBL,POS,Long,FB,2,36,18,80,1,2
3,20,3,1,0.42,MCS,NEG,Short,Mem,2,36,18,80,2,1
4,20,4,2,-0.025,MCL,POS,Long,Mem,2,36,18,80,2,2
5,20,1,1,0.018,FBS,NEG,Short,FB,2,36,18,80,1,1
6,20,3,2,-0.02,MCS,POS,Short,Mem,2,36,18,80,2,1
7,20,4,1,0.087,MCL,NEG,Long,Mem,2,36,18,80,2,2
8,20,2,1,-0.051,FBL,NEG,Long,FB,2,36,18,80,1,2
9,20,1,2,-0.011,FBS,POS,Short,FB,2,36,18,80,1,1
10,20,3,2,0.008,MCS,POS,Short,Mem,2,36,18,80,2,1
11,20,2,2,0.128,FBL,POS,Long,FB,2,36,18,80,1,2
12,20,4,2,0.071,MCL,POS,Long,Mem,2,36,18,80,2,2
13,20,4,1,0.083,MCL,NEG,Long,Mem,2,36,18,80,2,2
14,20,2,1,0.08,FBL,NEG,Long,FB,2,36,18,80,1,2
15,20,3,1,-0.002,MCS,NEG,Short,Mem,2,36,18,80,2,1
16,20,1,2,0.084,FBS,POS,Short,FB,2,36,18,80,1,1
1,21,1,1,0.022,FBS,POS,Short,FB,1,30,15,66,1,1
2,21,2,2,-0.097,FBL,NEG,Long,FB,1,30,15,66,1,2
3,21,3,1,-0.079,MCS,POS,Short,Mem,1,30,15,66,2,1
4,21,4,2,-0.006,MCL,NEG,Long,Mem,1,30,15,66,2,2
5,21,1,1,-0.012,FBS,POS,Short,FB,1,30,15,66,1,1
6,21,3,2,0.008,MCS,NEG,Short,Mem,1,30,15,66,2,1
7,21,4,1,-0.06,MCL,POS,Long,Mem,1,30,15,66,2,2
8,21,2,1,0.281,FBL,POS,Long,FB,1,30,15,66,1,2
9,21,1,2,-0.015,FBS,NEG,Short,FB,1,30,15,66,1,1
10,21,3,2,0.018,MCS,NEG,Short,Mem,1,30,15,66,2,1
11,21,2,2,-0.044,FBL,NEG,Long,FB,1,30,15,66,1,2
12,21,4,2,-0.132,MCL,NEG,Long,Mem,1,30,15,66,2,2
13,21,4,1,-0.055,MCL,POS,Long,Mem,1,30,15,66,2,2
14,21,2,1,-0.012,FBL,POS,Long,FB,1,30,15,66,1,2
15,21,3,1,-0.099,MCS,POS,Short,Mem,1,30,15,66,2,1
16,21,1,2,0.266,FBS,NEG,Short,FB,1,30,15,66,1,1
1,22,1,1,0.062,FBS,POS,Short,FB,1,22,16,43,1,1
2,22,2,2,-0.012,FBL,NEG,Long,FB,1,22,16,43,1,2
3,22,3,1,0.09,MCS,POS,Short,Mem,1,22,16,43,2,1
4,22,4,2,-0.09,MCL,NEG,Long,Mem,1,22,16,43,2,2
5,22,1,1,-0.025,FBS,POS,Short,FB,1,22,16,43,1,1
6,22,3,2,-0.025,MCS,NEG,Short,Mem,1,22,16,43,2,1
7,22,4,1,-0.055,MCL,POS,Long,Mem,1,22,16,43,2,2
8,22,2,1,0.006,FBL,POS,Long,FB,1,22,16,43,1,2
9,22,1,2,0.003,FBS,NEG,Short,FB,1,22,16,43,1,1
10,22,3,2,0.041,MCS,NEG,Short,Mem,1,22,16,43,2,1
11,22,2,2,0.073,FBL,NEG,Long,FB,1,22,16,43,1,2
12,22,4,2,0.04,MCL,NEG,Long,Mem,1,22,16,43,2,2
13,22,4,1,0.083,MCL,POS,Long,Mem,1,22,16,43,2,2
14,22,2,1,0.022,FBL,POS,Long,FB,1,22,16,43,1,2
15,22,3,1,-0.005,MCS,POS,Short,Mem,1,22,16,43,2,1
16,22,1,2,0.015,FBS,NEG,Short,FB,1,22,16,43,1,1
1,23,1,1,0.026,FBS,NEG,Short,FB,2,20,10,36,1,1
2,23,2,2,-0.053,FBL,POS,Long,FB,2,20,10,36,1,2
