TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
10,16,3,2,0.04,MCS,Neg,Short,Mem,1,20,18,32,2,1
11,16,2,2,-0.05,FBL,Neg,Long,FB,1,20,18,32,1,2
12,16,4,2,-0.05,MCL,Neg,Long,Mem,1,20,18,32,2,2
13,16,4,1,0.13,MCL,Pos,Long,Mem,1,20,18,32,2,2
14,16,2,1,0.03,FBL,Pos,Long,FB,1,20,18,32,1,2
15,16,3,1,-0.01,MCS,Pos,Short,Mem,1,20,18,32,2,1
16,16,1,2,-0.01,FBS,Neg,Short,FB,1,20,18,32,1,1
1,17,1,1,0.03,FBS,Pos,Short,FB,2,27,11,33,1,1
2,17,2,2,-0.12,FBL,Neg,Long,FB,2,27,11,33,1,2
3,17,3,1,0.31,MCS,Pos,Short,Mem,2,27,11,33,2,1
4,17,4,2,-0.03,MCL,Neg,Long,Mem,2,27,11,33,2,2
5,17,1,1,0.01,FBS,Pos,Short,FB,2,27,11,33,1,1
6,17,3,2,-0.02,MCS,Neg,Short,Mem,2,27,11,33,2,1
7,17,4,1,-0.17,MCL,Pos,Long,Mem,2,27,11,33,2,2
8,17,2,1,-0.09,FBL,Pos,Long,FB,2,27,11,33,1,2
9,17,1,2,0.01,FBS,Neg,Short,FB,2,27,11,33,1,1
10,17,3,2,0.05,MCS,Neg,Short,Mem,2,27,11,33,2,1
11,17,2,2,0.69,FBL,Neg,Long,FB,2,27,11,33,1,2
12,17,4,2,-0.04,MCL,Neg,Long,Mem,2,27,11,33,2,2
13,17,4,1,-0.1,MCL,Pos,Long,Mem,2,27,11,33,2,2
14,17,2,1,0.3,FBL,Pos,Long,FB,2,27,11,33,1,2
15,17,3,1,-0.08,MCS,Pos,Short,Mem,2,27,11,33,2,1
16,17,1,2,0.03,FBS,Neg,Short,FB,2,27,11,33,1,1
1,19,1,1,0.01,FBS,Pos,Short,FB,2,21,10,53,1,1
2,19,2,2,0.11,FBL,Neg,Long,FB,2,21,10,53,1,2
3,19,3,1,0.01,MCS,Pos,Short,Mem,2,21,10,53,2,1
4,19,4,2,-0.03,MCL,Neg,Long,Mem,2,21,10,53,2,2
5,19,1,1,0,FBS,Pos,Short,FB,2,21,10,53,1,1
6,19,3,2,0.02,MCS,Neg,Short,Mem,2,21,10,53,2,1
